"TIPO_EVENTO","DEPARTAMENTO","CODIGO_DANE_DEPARTAMENTO","MUNICIPIO","CODIGO_DANE_MUNICIPIO","AÑO","MES","EVENTO","TIPO_LUGAR","TIPO_AREA","LATITUD_CABECERA","LONGITUD_CABECERA","SITIO","UBICACION"
"Desminado militar en operaciones","META","50","VISTAHERMOSA","50,711","2,015","6","Incidente","Sin informacion","Rural","2.86","-73.68416667","Vereda La Siberia","POINT (-73.68416667 2.86)"
"Desminado militar en operaciones","CASANARE","85","TRINIDAD","85,430","2,015","6","Incidente","Sin informacion","Rural","5.43","-71.20916667","El Porvenir - Estacion Los Toros","POINT (-71.20916667 5.43)"
"Desminado militar en operaciones","META","50","VISTAHERMOSA","50,711","2,015","6","Incidente","Sin informacion","Rural","3.1438888889","-73.63666667","Vereda Cunumia","POINT (-73.63666667 3.1438888889)"
"Desminado militar en operaciones","META","50","LA MACARENA","50,350","2,015","6","Incidente","Sin informacion","Rural","2.3625","-74.24416667","Vereda El Rubi","POINT (-74.24416667 2.3625)"
"Desminado militar en operaciones","META","50","URIBE","50,370","2,015","6","Incidente","Sin informacion","Rural","2.7563888889","-74.3","Sector Bocas Del Reserva","POINT (-74.3 2.7563888889)"
"Desminado militar en operaciones","ANTIOQUIA","5","SAN ANDRÉS","5,647","2,015","6","Incidente","Sin informacion","Rural","6.9133333333","-75.67305556","Via San Andres","POINT (-75.67305556 6.9133333333)"
"Desminado militar en operaciones","ANTIOQUIA","5","VIGÍA DEL FUERTE","5,873","2,015","7","Incidente","Sin informacion","Rural","6.5875","-76.89555556","Vigía Del Fuerte","POINT (-76.89555556 6.5875)"
"Incautaciones","ANTIOQUIA","5","COCORNÁ","5,197","2,005","11","Incidente","Sin informacion","Rural","6.062263","-75.192138","Sin información","POINT (-75.192138 6.062263)"
"Desminado militar en operaciones","CAQUETA","18","CARTAGENA DEL CHAIRÁ","18,150","2,015","7","Incidente","Sin informacion","Rural","0.591944444","-74.40222222","Sector Remolinos Del Caguan","POINT (-74.40222222 0.591944444)"
"Desminado militar en operaciones","PUTUMAYO","86","PUERTO ASÍS","86,568","2,015","7","Incidente","Sin informacion","Rural","0.434186111","-76.47251944","Área General","POINT (-76.47251944 0.434186111)"
"Sospecha de campo minado","ANTIOQUIA","5","SAN RAFAEL","5,667","2,013","11","Incidente","Campo","Rural","6.36721","-74.89348","Finca Aura Elena","POINT (-74.89348 6.36721)"
"Desminado militar en operaciones","META","50","URIBE","50,370","2,015","8","Incidente","Sin informacion","Rural","2.8327777778","-74.17638889","Vereda La Amistad","POINT (-74.17638889 2.8327777778)"
