"TIPO_EVENTO","DEPARTAMENTO","CODIGO_DANE_DEPARTAMENTO","MUNICIPIO","CODIGO_DANE_MUNICIPIO","AÑO","MES","EVENTO","TIPO_LUGAR","TIPO_AREA","LATITUD_CABECERA","LONGITUD_CABECERA","SITIO","UBICACION"
"Sospecha de campo minado","SANTANDER","68","SAN VICENTE DE CHUCURÍ","68,689","2,014","10","Incidente","Fincas","Rural","6.84073","-73.53009","Sospecha De Campo Minado","POINT (-73.53009 6.84073)"
"Sospecha de campo minado","SANTANDER","68","EL CARMEN","68,235","2,013","9","Incidente","Campo","Rural","6.72416","-73.60923","Sospecha De Campo Minado","POINT (-73.60923 6.72416)"
"Sospecha de campo minado","ANTIOQUIA","5","GRANADA","5,313","2,015","4","Incidente","Campo","Rural","6.11738","-75.10259","Sospecha De Campo Minado","POINT (-75.10259 6.11738)"
"Desminado militar en operaciones","ARAUCA","81","ARAUQUITA","81,065","2,015","5","Incidente","Oleoductos","Rural","7.010011111","-71.44830556","Vereda Peralonso","POINT (-71.44830556 7.010011111)"
"Accidente por MAP","NORTE DE SANTANDER","54","TIBÚ","54,810","2,015","5","Accidente","Sin informacion","Rural","8.84638888889","-72.79972222222","Sector La Virgen","POINT (-72.7997222222222 8.84638888888889)"
"Desminado militar en operaciones","PUTUMAYO","86","PUERTO ASÍS","86,568","2,015","3","Incidente","Sin informacion","Rural","0.5036111111","-76.45666667","Vereda El Aguila","POINT (-76.45666667 0.5036111111)"
"Desminado militar en operaciones","GUAVIARE","95","CALAMAR","95,015","2,015","4","Incidente","Sin informacion","Rural","1.9616666667","-72.65333333","Puente Que Comunica Las Instalaciones Del Batallon","POINT (-72.65333333 1.9616666667)"
"Desminado militar en operaciones","NORTE DE SANTANDER","54","EL TARRA","54,250","2,015","4","Incidente","Sin informacion","Rural","8.6213888889","-73.10138889","Vereda Divino Niño","POINT (-73.10138889 8.6213888889)"
"Desminado militar en operaciones","META","50","MESETAS","50,330","2,010","3","Incidente","Sin informacion","Rural","3.315556","-74.099167","Guadualeja","POINT (-74.099167 3.315556)"
"Desminado militar en operaciones","ANTIOQUIA","5","APARTADÓ","5,045","2,010","3","Incidente","Sin informacion","Rural","7.895833","-76.572778","La Vereda Guineo Alto","POINT (-76.572778 7.895833)"
"Incautaciones","HUILA","41","COLOMBIA","41,206","2,009","10","Incidente","Caleta","Rural","3.3025","-74.778333","La Holanda","POINT (-74.778333 3.3025)"
"Desminado militar en operaciones","HUILA","41","NEIVA","41,001","2,010","3","Incidente","Sin informacion","Rural","2.936944","-75.045","La Vegalarga","POINT (-75.045 2.936944)"
"Desminado militar en operaciones","PUTUMAYO","86","ORITO","86,320","2,009","10","Incidente","Sin informacion","Rural","0.650833","-77.141111","Las Ventanas","POINT (-77.141111 0.650833)"
"Desminado militar en operaciones","TOLIMA","73","ORTEGA","73,504","2,008","6","Incidente","Sin informacion","Rural","3.947778","-75.383056","Vereda San Miguel","POINT (-75.383056 3.947778)"
"Desminado militar en operaciones","NORTE DE SANTANDER","54","LABATECA","54,377","2,009","10","Incidente","Sin informacion","Rural","7.271944","-72.547222","El Tincala","POINT (-72.547222 7.271944)"
"Desminado militar en operaciones","CAQUETA","18","SAN VICENTE DEL CAGUÁN","18,753","2,009","4","Incidente","Sin informacion","Rural","2.613889","-74.694167","El Rio Coreguaje","POINT (-74.694167 2.613889)"
"Desminado militar en operaciones","CORDOBA","23","TIERRALTA","23,807","2,009","4","Incidente","Sin informacion","Rural","7.826667","-76.037778","El Manso","POINT (-76.037778 7.826667)"
"Desminado militar en operaciones","ANTIOQUIA","5","SAN FRANCISCO","5,652","2,009","3","Incidente","Sin informacion","Rural","5.948056","-75.055833","La Vereda El Boqueron","POINT (-75.055833 5.948056)"
"Desminado militar en operaciones","HUILA","41","COLOMBIA","41,206","2,009","1","Incidente","Sin informacion","Rural","3.731944","-74.531389","La Vereda Tapiales","POINT (-74.531389 3.731944)"
"Desminado militar en operaciones","CHOCO","27","QUIBDÓ","27,001","2,009","9","Incidente","Sin informacion","Rural","5.695556","-76.661944","El Malecon","POINT (-76.661944 5.695556)"
"Desminado militar en operaciones","META","50","URIBE","50,370","2,009","9","Incidente","Sin informacion","Rural","3.023056","-74.233611","El Paraiso","POINT (-74.233611 3.023056)"
"Desminado militar en operaciones","ANTIOQUIA","5","SAN CARLOS","5,649","2,009","9","Incidente","Sin informacion","Rural","6.179167","-74.901111","La Risaralda","POINT (-74.901111 6.179167)"
"Desminado militar en operaciones","ANTIOQUIA","5","CÁCERES","5,120","2,009","8","Incidente","Sin informacion","Rural","7.469167","-75.148056","El Peladero","POINT (-75.148056 7.469167)"
"Desminado militar en operaciones","META","50","URIBE","50,370","2,009","6","Incidente","Sin informacion","Rural","2.863611","-74.592778","El Leyva","POINT (-74.592778 2.863611)"
"Desminado militar en operaciones","NARIÑO","52","POLICARPA","52,540","2,011","6","Incidente","Sin informacion","Rural","1.832778","-77.547222","Corregimiento Santacruz","POINT (-77.547222 1.832778)"
"Desminado militar en operaciones","CAQUETA","18","MONTAÑITA","18,410","2,011","6","Incidente","Sin informacion","Rural","1.044444","-75.144444","Vereda Alto Cuarenta","POINT (-75.144444 1.044444)"
"Desminado militar en operaciones","HUILA","41","COLOMBIA","41,206","2,011","6","Incidente","Sin informacion","Rural","3.163889","-74.804444","La Hondita","POINT (-74.804444 3.163889)"
"Desminado militar en operaciones","CAQUETA","18","SOLANO","18,756","2,011","6","Incidente","Sin informacion","Rural","1.024444","-75.152222","Vereda El Jardin","POINT (-75.152222 1.024444)"
"Desminado militar en operaciones","CAQUETA","18","SAN VICENTE DEL CAGUÁN","18,753","2,011","6","Incidente","Sin informacion","Rural","2.513333","-74.662222","Area General Honduras","POINT (-74.662222 2.513333)"
"Desminado militar en operaciones","TOLIMA","73","PLANADAS","73,555","2,011","6","Incidente","Sin informacion","Rural","3.017222","-75.783611","Cerro San Miguel","POINT (-75.783611 3.017222)"
"Desminado militar en operaciones","BOLIVAR","13","MONTECRISTO","13,458","2,011","6","Incidente","Sin informacion","Rural","7.826944","-74.453056","Las Vegas","POINT (-74.453056 7.826944)"
"Desminado militar en operaciones","TOLIMA","73","PLANADAS","73,555","2,011","5","Incidente","Sin informacion","Rural","2.983889","-75.833611","Vereda Lejanias","POINT (-75.833611 2.983889)"
"Desminado militar en operaciones","META","50","VISTAHERMOSA","50,711","2,011","5","Incidente","Sin informacion","Rural","2.878333","-73.79","Sector Agua Linda","POINT (-73.79 2.878333)"
"Desminado militar en operaciones","ANTIOQUIA","5","ANORÍ","5,040","2,011","5","Incidente","Sin informacion","Rural","7.050833","-75.150278","Cabecera Municipal","POINT (-75.150278 7.050833)"
"Desminado militar en operaciones","ANTIOQUIA","5","ITUANGO","5,361","2,011","5","Incidente","Sin informacion","Rural","7.325556","-75.731667","Vereda El Olivar","POINT (-75.731667 7.325556)"
"Desminado militar en operaciones","NORTE DE SANTANDER","54","CÚCUTA","54,001","2,011","5","Incidente","Sin informacion","Rural","8.349444","-72.493056","Vereda El Recreo","POINT (-72.493056 8.349444)"
"Desminado militar en operaciones","PUTUMAYO","86","PUERTO ASÍS","86,568","2,011","5","Incidente","Sin informacion","Rural","0.485","-76.556389","Vereda Remolinos","POINT (-76.556389 0.485)"
"Desminado militar en operaciones","CESAR","20","SAN DIEGO","20,750","2,011","4","Incidente","Sin informacion","Rural","10.186389","-73.203889","El Tocaimo","POINT (-73.203889 10.186389)"
"Sospecha de campo minado","ANTIOQUIA","5","GRANADA","5,313","2,010","6","Incidente","Sin informacion","Rural","6.07305","-75.10152","Vereda La Estrella,Sector La Escuela","POINT (-75.10152 6.07305)"
"Sospecha de campo minado","ANTIOQUIA","5","SONSÓN","5,756","2,010","6","Incidente","Sin informacion","Rural","5.836216","-75.196339","Los Alumbres Surrumbal Rio Manizales","POINT (-75.196339 5.836216)"
"Sospecha de campo minado","ANTIOQUIA","5","CARMEN DE VIBORAL","5,148","2,009","12","Incidente","Sin informacion","Rural","5.997125","-75.310893","El Acueducto","POINT (-75.310893 5.997125)"
"Desminado militar en operaciones","CAUCA","19","BALBOA","19,075","2,023","9","Incidente","Sin informacion","Rural","2.07388888889","-77.25805555556","EL NARANJAL","POINT (-77.2580555555556 2.07388888888889)"
"Sospecha de campo minado","NARIÑO","52","TUMACO","52,835","2,014","1","Incidente","Sin informacion","Rural","1.338756255","-78.656243702","MATA DE PLATANO","POINT (-78.656243702 1.338756255)"
"Sospecha de campo minado","NARIÑO","52","BARBACOAS","52,079","2,013","1","Incidente","Sin informacion","Rural","1.264573033","-78.564293642","MUNGUI 1","POINT (-78.564293642 1.264573033)"
"Accidente por MAP","PUTUMAYO","86","PUERTO LEGUÍZAMO","86,573","2,023","10","Accidente","Campo","Rural","-0.17775748923","-74.7814805091","VEREDA EL DIAMANTE","POINT (-74.7814805091 -0.17775748923)"
"Sospecha de campo minado","BOLIVAR","13","EL CARMEN DE BOLÍVAR","13,244","2,009","12","Incidente","Sin informacion","Rural","9.67889","-75.34044","Finca Ovejero","POINT (-75.34044 9.67889)"
"Sospecha de campo minado","NARIÑO","52","BARBACOAS","52,079","2,009","12","Incidente","Sin informacion","Rural","1.63568","-78.25","La Cuchilla","POINT (-78.25 1.63568)"
"Desminado militar en operaciones","META","50","URIBE","50,370","2,009","8","Incidente","Sin informacion","Rural","3.286389","-74.339167","El Diamante","POINT (-74.339167 3.286389)"
"Sospecha de campo minado","BOLIVAR","13","EL CARMEN DE BOLÍVAR","13,244","2,009","12","Incidente","Sin informacion","Rural","9.57969","-75.03735","Vereda De Morrocoy","POINT (-75.03735 9.57969)"
"Desminado militar en operaciones","ANTIOQUIA","5","DABEIBA","5,234","2,011","4","Incidente","Sin informacion","Rural","7.150833","-76.318056","Sector El Meson","POINT (-76.318056 7.150833)"
"Desminado militar en operaciones","LA GUAJIRA","44","FONSECA","44,279","2,011","4","Incidente","Sin informacion","Rural","10.765833","-72.773611","San Luis","POINT (-72.773611 10.765833)"
"Desminado militar en operaciones","CAQUETA","18","MILÁN","18,460","2,011","4","Incidente","Sin informacion","Rural","1.084167","-75.238056","Las Margaritas","POINT (-75.238056 1.084167)"
"Desminado militar en operaciones","CASANARE","85","SÁCAMA","85,315","2,011","3","Incidente","Sin informacion","Rural","6.058056","-72.113056","Barronegro","POINT (-72.113056 6.058056)"
"Desminado militar en operaciones","ANTIOQUIA","5","BRICEÑO","5,107","2,011","3","Incidente","Sin informacion","Rural","7.077778","-75.622778","La Mina","POINT (-75.622778 7.077778)"
"Desminado militar en operaciones","META","50","MESETAS","50,330","2,011","3","Incidente","Sin informacion","Rural","2.916389","-74.089722","Palmeras","POINT (-74.089722 2.916389)"
"Desminado militar en operaciones","PUTUMAYO","86","PUERTO ASÍS","86,568","2,011","3","Incidente","Sin informacion","Rural","0.316111","-76.596389","La Cumbre","POINT (-76.596389 0.316111)"
"Desminado militar en operaciones","HUILA","41","YAGUARÁ","41,885","2,011","3","Incidente","Sin informacion","Rural","2.606111","-75.476944","Vilu","POINT (-75.476944 2.606111)"
"Desminado militar en operaciones","CAQUETA","18","FLORENCIA","18,001","2,009","8","Incidente","Sin informacion","Rural","1.863056","-75.514167","Año Nuevo","POINT (-75.514167 1.863056)"
"Desminado militar en operaciones","CAQUETA","18","MONTAÑITA","18,410","2,009","8","Incidente","Sin informacion","Rural","1.276944","-75.215278","La Argelia","POINT (-75.215278 1.276944)"
"Desminado militar en operaciones","META","50","EL DORADO","50,270","2,011","2","Incidente","Sin informacion","Rural","3.700278","-73.853889","La Vereda San Pedro","POINT (-73.853889 3.700278)"
"Desminado militar en operaciones","VALLE DEL CAUCA","76","FLORIDA","76,275","2,011","2","Incidente","Sin informacion","Rural","3.320833","-76.131944","Aguitas","POINT (-76.131944 3.320833)"
"Desminado militar en operaciones","ANTIOQUIA","5","TARAZÁ","5,790","2,011","2","Incidente","Sin informacion","Rural","7.467778","-75.43","Q. San Julian","POINT (-75.43 7.467778)"
"Desminado militar en operaciones","NORTE DE SANTANDER","54","SAN CALIXTO","54,670","2,011","2","Incidente","Sin informacion","Rural","8.454167","-73.214722","San Jeronimo","POINT (-73.214722 8.454167)"
"Desminado militar en operaciones","PUTUMAYO","86","SAN MIGUEL","86,757","2,011","2","Incidente","Sin informacion","Rural","0.278611","-76.885556","El Bajo Amaron","POINT (-76.885556 0.278611)"
"Desminado militar en operaciones","META","50","URIBE","50,370","2,011","2","Incidente","Sin informacion","Rural","2.968889","-74.290833","La Vereda La Palestina","POINT (-74.290833 2.968889)"
"Desminado militar en operaciones","ARAUCA","81","TAME","81,794","2,011","1","Incidente","Sin informacion","Rural","6.390278","-71.888056","Pte Tame","POINT (-71.888056 6.390278)"
"Desminado militar en operaciones","ANTIOQUIA","5","ANORÍ","5,040","2,011","1","Incidente","Sin informacion","Rural","7.076111","-75.138889","La Vereda Arenales","POINT (-75.138889 7.076111)"
"Desminado militar en operaciones","ANTIOQUIA","5","CAMPAMENTO","5,134","2,011","1","Incidente","Sin informacion","Rural","7.121944","-75.325556","La Vereda El Limon","POINT (-75.325556 7.121944)"
"Desminado militar en operaciones","TOLIMA","73","PLANADAS","73,555","2,011","1","Incidente","Sin informacion","Rural","2.993333","-75.914722","La Vereda Marquetalia","POINT (-75.914722 2.993333)"
"Desminado militar en operaciones","CAQUETA","18","SAN VICENTE DEL CAGUÁN","18,753","2,011","1","Incidente","Sin informacion","Rural","2.596389","-74.854444","Alto Avance","POINT (-74.854444 2.596389)"
"Accidente por MAP","ANTIOQUIA","5","SAN LUIS","5,660","2,003","11","Accidente","Sin informacion","Rural","6.042723","-74.994899","Sitio Las Palmas","POINT (-74.994899 6.042723)"
"Accidente por MAP","CALDAS","17","SAMANÁ","17,662","2,007","1","Accidente","Sin informacion","Rural","5.653056","-75.036389","Sin información","POINT (-75.036389 5.653056)"
"Accidente por MAP","CALDAS","17","SAMANÁ","17,662","2,006","11","Accidente","Sin informacion","Rural","5.593889","-75.013056","Sitio Quiebra Del Abejorro","POINT (-75.013056 5.593889)"
"Accidente por MAP","CHOCO","27","EL CARMEN DEL ATRATO","27,245","2,005","5","Accidente","Sin informacion","Rural","5.892603","-76.145891","Sitio La Puria","POINT (-76.145891 5.892603)"
"Accidente por MAP","VALLE DEL CAUCA","76","FLORIDA","76,275","2,010","4","Accidente","Sin informacion","Rural","3.26638888889","-76.11583333333","Vereda Cajones","POINT (-76.11583333333333 3.266388888888889)"
"Accidente por MAP","META","50","MESETAS","50,330","2,010","4","Accidente","Sin informacion","Rural","3.235","-74.07472222222","Las Colinas","POINT (-74.07472222222222 3.235)"
"Accidente por MAP","VALLE DEL CAUCA","76","FLORIDA","76,275","2,010","5","Accidente","Sin informacion","Rural","3.25194444444","-76.10861111111","Vereda Los Alpes","POINT (-76.10861111111112 3.2519444444444443)"
"Accidente por MAP","BOLIVAR","13","CANTAGALLO","13,160","2,010","3","Accidente","Sin informacion","Rural","7.379167","-73.918975","Sin información","POINT (-73.918975 7.379167)"
"Accidente por MAP","HUILA","41","SAN AGUSTÍN","41,668","2,010","5","Accidente","Sin informacion","Rural","1.815","-76.35277777778","Vereda La Esperanza","POINT (-76.35277777777777 1.815)"
"Accidente por MAP","VALLE DEL CAUCA","76","PRADERA","76,563","2,010","6","Accidente","Sin informacion","Rural","3.38888888889","-76.14611111111","Cuchilla La Cristalina","POINT (-76.14611111111111 3.388888888888889)"
"Accidente por MAP","GUAVIARE","95","SAN JOSÉ DEL GUAVIARE","95,001","2,010","6","Accidente","Sin informacion","Rural","2.28305555556","-73.64138888889","Vereda Peñas Rojas","POINT (-73.64138888888888 2.2830555555555554)"
"Accidente por MAP","CAQUETA","18","SAN VICENTE DEL CAGUÁN","18,753","2,011","1","Accidente","Campo","Rural","2.56388888889","-74.84138888889","Sin información","POINT (-74.84138888888889 2.563888888888889)"
"Accidente por MAP","CAQUETA","18","PUERTO RICO","18,592","2,011","2","Accidente","Sin informacion","Rural","2.31611111111","-75.16666666667","Sin información","POINT (-75.16666666666667 2.3161111111111112)"
"Accidente por MAP","CAQUETA","18","PUERTO RICO","18,592","2,009","4","Accidente","Sin informacion","Rural","1.9325","-75.12861111111","El Desquite","POINT (-75.12861111111111 1.9325)"
"Accidente por MAP","NORTE DE SANTANDER","54","SAN CALIXTO","54,670","2,009","5","Accidente","Cerros","Rural","8.4625","-73.08611111111","Vereda San Ignacio","POINT (-73.08611111111111 8.4625)"
"Accidente por MAP","ANTIOQUIA","5","VALDIVIA","5,854","2,009","4","Accidente","Sin informacion","Rural","7.165222","-75.438081","Sin información","POINT (-75.438081 7.165222)"
"Accidente por MAP","ANTIOQUIA","5","CÁCERES","5,120","2,009","7","Accidente","Sendero","Rural","7.43722222222","-75.19916666667","Cerro Alto Dolores","POINT (-75.19916666666667 7.437222222222222)"
"Accidente por MAP","NARIÑO","52","EL CHARCO","52,250","2,009","4","Accidente","Sin informacion","Rural","2.33666666667","-78.12083333333","Río Tapaje","POINT (-78.12083333333334 2.336666666666667)"
"Accidente por MAP","CHOCO","27","RIOSUCIO","27,615","2,009","3","Accidente","Sin informacion","Rural","7.437292","-77.111288","Sin información","POINT (-77.111288 7.437292)"
"Accidente por MAP","CAUCA","19","BUENOS AIRES","19,110","2,009","8","Accidente","Sin informacion","Rural","3.02044583333","-76.63425","Calle La Línea","POINT (-76.63425 3.0204458333333335)"
"Accidente por MAP","HUILA","41","ISNOS","41,359","2,009","8","Accidente","Sin informacion","Rural","2.02666666667","-76.27083333333","Paloquemao","POINT (-76.27083333333333 2.026666666666667)"
"Accidente por MAP","BOLIVAR","13","CANTAGALLO","13,160","2,009","8","Accidente","Sendero","Rural","7.24666666667","-74.10194444444","Vereda Lejanias","POINT (-74.10194444444444 7.246666666666667)"
"Accidente por MAP","ANTIOQUIA","5","ITUANGO","5,361","2,009","3","Accidente","Sin informacion","Rural","7.171637","-75.764403","Vereda El Sinucito","POINT (-75.764403 7.171637)"
"Accidente por MAP","NORTE DE SANTANDER","54","CONVENCIÓN","54,206","2,009","10","Accidente","Sin informacion","Rural","8.85611111111","-73.236","Vereda Bohío Santa Fe","POINT (-73.236 8.85611111111111)"
"Accidente por MAP","ANTIOQUIA","5","DABEIBA","5,234","2,008","7","Accidente","Caminos","Rural","7.14666666667","-76.00388888889","Las Minas","POINT (-76.0038888888889 7.1466666666666665)"
"Accidente por MAP","META","50","EL CASTILLO","50,251","2,008","9","Accidente","Sin informacion","Rural","3.66666666667","-73.94777777778","Vereda Los Alpes","POINT (-73.94777777777777 3.6666666666666665)"
"Accidente por MAP","CAQUETA","18","SAN VICENTE DEL CAGUÁN","18,753","2,008","9","Accidente","Sin informacion","Rural","2.667","-74.732","Sin información","POINT (-74.732 2.667)"
"Accidente por MAP","SANTANDER","68","EL PEÑÓN","68,250","2,004","3","Accidente","Sin informacion","Rural","6.10597444444","-73.92803083333","Quebrada Montana","POINT (-73.92803083333334 6.105974444444445)"
"Accidente por MAP","CAUCA","19","EL TAMBO","19,256","2,007","12","Accidente","Sin informacion","Rural","2.451476","-76.810904","Sin información","POINT (-76.810904 2.451476)"
"Accidente por MAP","NORTE DE SANTANDER","54","LA PLAYA","54,398","2,007","11","Accidente","Sin informacion","Rural","8.214079","-73.239218","Vereda Guayabón","POINT (-73.239218 8.214079)"
"Accidente por MAP","CAUCA","19","EL TAMBO","19,256","2,008","1","Accidente","Sin informacion","Rural","2.451476","-76.810904","Sin información","POINT (-76.810904 2.451476)"
"Accidente por MAP","ANTIOQUIA","5","EL BAGRE","5,250","2,003","4","Accidente","Sin informacion","Rural","7.733","-74.617","Vereda Catalina","POINT (-74.617 7.733)"
"Accidente por MAP","NARIÑO","52","BARBACOAS","52,079","2,008","9","Accidente","Sin informacion","Rural","1.672216","-78.138537","Sin información","POINT (-78.138537 1.672216)"
"Accidente por MAP","GUAVIARE","95","SAN JOSÉ DEL GUAVIARE","95,001","2,008","6","Accidente","Sin informacion","Rural","2.564079","-72.640033","Sin información","POINT (-72.640033 2.564079)"
"Accidente por MAP","CAQUETA","18","MONTAÑITA","18,410","2,009","3","Accidente","en sobre cerca rivera de un rio","Rural","1.49494421255","-75.4630895064","Vereda Las Parcelas","POINT (-75.4630895064 1.49494421255)"
"Accidente por MAP","TOLIMA","73","CHAPARRAL","73,168","2,009","11","Accidente","Cerros","Rural","3.72525134611","-75.48449782694","Peñaranda","POINT (-75.48449782694445 3.725251346111111)"
"Accidente por MAP","BOLIVAR","13","MORALES","13,473","1,995","4","Accidente","Sin informacion","Rural","8.270279","-73.865805","Sin información","POINT (-73.865805 8.270279)"
"Accidente por MAP","CUNDINAMARCA","25","LA PALMA","25,394","2,001","10","Accidente","Sin informacion","Rural","5.308","-74.45","Sin información","POINT (-74.45 5.308)"
"Accidente por MAP","CAQUETA","18","SAN VICENTE DEL CAGUÁN","18,753","2,007","3","Accidente","Sin informacion","Rural","2.625","-74.85","Vereda Santo Domingo","POINT (-74.85 2.625)"
"Accidente por MAP","CUNDINAMARCA","25","GUAYABAL DE SÍQUIMA","25,328","2,003","4","Accidente","Sin informacion","Rural","4.877547","-74.466984","Mesitas","POINT (-74.466984 4.877547)"
"Accidente por MAP","ANTIOQUIA","5","ZARAGOZA","5,895","1,994","11","Accidente","Sin informacion","Rural","7.490632","-74.867778","Sitio Arenales","POINT (-74.867778 7.490632)"
"Accidente por MAP","CAQUETA","18","SAN VICENTE DEL CAGUÁN","18,753","2,007","10","Accidente","Sin informacion","Rural","2.693333","-74.644444","Rio Coreguaje","POINT (-74.644444 2.693333)"
"Accidente por MAP","ANTIOQUIA","5","REMEDIOS","5,604","2,005","4","Accidente","Sin informacion","Rural","7.168056","-74.578333","Sitio Cañaverales","POINT (-74.578333 7.168056)"
"Desminado militar en operaciones","PUTUMAYO","86","PUERTO ASÍS","86,568","2,011","1","Incidente","Sin informacion","Rural","0.495833","-76.5175","En Puerto Asis","POINT (-76.5175 0.495833)"
"Accidente por MAP","TOLIMA","73","DOLORES","73,236","2,004","5","Accidente","Sin informacion","Rural","3.701944","-74.662222","Cuchilla Altamizal","POINT (-74.662222 3.701944)"
"Accidente por MAP","BOLIVAR","13","ARENAL","13,042","2,001","7","Accidente","Sin informacion","Rural","8.45731","-73.941577","Sitio La Ye De San Rafael","POINT (-73.941577 8.45731)"
"Accidente por MAP","NARIÑO","52","POLICARPA","52,540","2,006","3","Accidente","Sin informacion","Rural","1.628192","-77.459098","Sin información","POINT (-77.459098 1.628192)"
"Accidente por MAP","ARAUCA","81","TAME","81,794","2,006","4","Accidente","Sin informacion","Rural","6.461209","-71.730855","Sector Lejanías","POINT (-71.730855 6.461209)"
"Accidente por MAP","ANTIOQUIA","5","SANTUARIO","5,697","2,001","12","Accidente","Sin informacion","Rural","6.136617","-75.264829","Sin información","POINT (-75.264829 6.136617)"
"Accidente por MAP","CAUCA","19","EL TAMBO","19,256","2,005","3","Accidente","Sin informacion","Rural","2.445556","-76.8175","Sitio El Obelisco","POINT (-76.8175 2.445556)"
"Accidente por MAP","TOLIMA","73","PLANADAS","73,555","2,005","12","Accidente","Sin informacion","Rural","3.197458","-75.643224","Sin información","POINT (-75.643224 3.197458)"
"Accidente por MAP","TOLIMA","73","PLANADAS","73,555","2,005","8","Accidente","Sin informacion","Rural","3.128056","-75.700556","Vereda Barranquillita","POINT (-75.700556 3.128056)"
"Accidente por MAP","CAUCA","19","CAJIBÍO","19,130","2,019","1","Accidente","Sin informacion","Rural","2.62513761897","-76.5610880856","Sin información","POINT (-76.5610880856 2.62513761897)"
"Accidente por MAP","CESAR","20","AGUSTÍN CODAZZI","20,013","2,002","10","Accidente","Sin informacion","Rural","9.876944","-73.258889","Sin información","POINT (-73.258889 9.876944)"
"Accidente por MUSE","BOYACA","15","EL COCUY","15,244","2,001","11","Accidente","Sin informacion","Rural","6.4078","-72.444665","El Cañaveral","POINT (-72.444665 6.4078)"
"Accidente por MAP","BOLIVAR","13","CARTAGENA DE INDIAS","13,001","2,002","5","Accidente","Sin informacion","Rural","10.397047","-75.511207","Sin información","POINT (-75.511207 10.397047)"
"Accidente por MAP","BOLIVAR","13","ARENAL","13,042","2,023","4","Accidente","Sin informacion","Rural","8.33055555556","-74.13944444444","Lomas de Honda","POINT (-74.1394444444445 8.33055555555556)"
"Desminado militar en operaciones","ARAUCA","81","TAME","81,794","2,011","1","Incidente","Sin informacion","Rural","6.238889","-71.975278","Curipao","POINT (-71.975278 6.238889)"
"Accidente por MAP","ANTIOQUIA","5","COCORNÁ","5,197","2,003","6","Accidente","Sin informacion","Rural","6.058001","-75.185085","Vereda Las Faldas","POINT (-75.185085 6.058001)"
"Accidente por MAP","CORDOBA","23","PUERTO LIBERTADOR","23,580","2,008","2","Accidente","Sin informacion","Rural","7.883545","-75.670508","Sitio Tres Palitos","POINT (-75.670508 7.883545)"
"Accidente por MAP","META","50","SAN JUAN DE ARAMA","50,683","2,004","2","Accidente","Sin informacion","Rural","3.380464","-73.878772","Sitio Angosturas","POINT (-73.878772 3.380464)"
"Accidente por MAP","SANTANDER","68","SABANA DE TORRES","68,655","2,007","2","Accidente","Sin informacion","Rural","7.380556","-73.423333","Los Canelos","POINT (-73.423333 7.380556)"
"Accidente por MAP","VALLE DEL CAUCA","76","FLORIDA","76,275","2,011","10","Accidente","Sin informacion","Rural","3.2875","-76.16111111111","Sin información","POINT (-76.16111111111111 3.2875)"
"Accidente por MAP","BOLIVAR","13","SAN PABLO","13,670","1,992","6","Accidente","Sin informacion","Rural","7.483919","-73.933361","Sin información","POINT (-73.933361 7.483919)"
"Accidente por MAP","TOLIMA","73","CHAPARRAL","73,168","2,004","6","Accidente","Sin informacion","Rural","3.723381","-75.485633","Sin información","POINT (-75.485633 3.723381)"
"Accidente por MAP","SANTANDER","68","SURATÁ","68,780","2,001","9","Accidente","Sin informacion","Rural","7.371953","-72.982441","Sin información","POINT (-72.982441 7.371953)"
"Accidente por MAP","META","50","MESETAS","50,330","2,003","8","Accidente","Sin informacion","Rural","3.380371","-74.042419","Sin información","POINT (-74.042419 3.380371)"
"Accidente por MAP","NORTE DE SANTANDER","54","TIBÚ","54,810","2,007","11","Accidente","Sin informacion","Rural","8.639326","-72.735541","Sin información","POINT (-72.735541 8.639326)"
"Accidente por MAP","CALDAS","17","LA DORADA","17,380","2,003","5","Accidente","Sin informacion","Rural","5.460133","-74.667938","Sin información","POINT (-74.667938 5.460133)"
"Accidente por MAP","CALDAS","17","SUPÍA","17,777","2,004","7","Accidente","Sin informacion","Rural","5.451732","-75.647668","Vereda Brasil, Sector El Ramal","POINT (-75.647668 5.451732)"
"Accidente por MAP","CASANARE","85","CHÁMEZA","85,015","2,003","4","Accidente","Sin informacion","Rural","5.214621","-72.869693","Vereda Mundo Viejo","POINT (-72.869693 5.214621)"
"Accidente por MAP","META","50","EL CASTILLO","50,251","2,005","8","Accidente","Sin informacion","Rural","3.610833","-73.950556","Sector Yamanes Miravalle","POINT (-73.950556 3.610833)"
"Desminado militar en operaciones","ANTIOQUIA","5","VALDIVIA","5,854","2,010","1","Incidente","Sin informacion","Rural","7.338333","-75.357778","Las Paulinas","POINT (-75.357778 7.338333)"
"Accidente por MAP","CHOCO","27","UNGUÍA","27,800","2,003","6","Accidente","Sin informacion","Rural","8.042731","-77.092107","Vereda Santa María, En El Sitio Cerro Mosquito","POINT (-77.092107 8.042731)"
"Accidente por MAP","CHOCO","27","QUIBDÓ","27,001","2,001","6","Accidente","Sin informacion","Rural","5.694248","-76.650754","Vereda Las Mercedes","POINT (-76.650754 5.694248)"
"Accidente por MAP","CAQUETA","18","FLORENCIA","18,001","2,002","11","Accidente","Sin informacion","Rural","1.621012","-75.619118","Sin información","POINT (-75.619118 1.621012)"
